CODE,CountryName
AUS,Australia
AUT,Austria
BEL,Belgium
CAN,Canada
CZE,Czech Republic
DNK,Denmark
FIN,Finland
FRA,France
DEU,Germany
GRC,Greece
HUN,Hungary
ISL,Iceland
IRL,Ireland
ITA,Italy
JPN,Japan
KOR,Korea
LUX,Luxembourg
MEX,Mexico
NLD,Netherlands
NZL,New Zealand
NOR,Norway
POL,Poland
PRT,Portugal
SVK,Slovak Republic
ESP,Spain
SWE,Sweden
CHE,Switzerland
TUR,Turkey
GBR,United Kingdom
USA,United States
BRA,Brazil
CHL,Chile
EST,Estonia
ISR,Israel
RUS,Russia
SVN,Slovenia
